Name,meses_10,meses_13,Q1,Q2,Q3,Q4
S13,0.537046797,0.612609822,0.999993758,1.86E-17,3.66E-189,6.24E-06
S130,1.52588528,0.603659057,2.73E-05,2.24E-12,1.00E-183,0.999972698
S131,-0.463434808,-0.544177623,2.92E-05,9.11E-11,8.64E-179,0.999970842
S133,0.543759794,-0.19432416,9.64E-05,1.51E-12,2.87E-184,0.999903615
S134,1.612718915,1.425282906,9.79E-05,6.68E-13,2.27E-184,0.999902117
S135,-0.108656557,0.941043297,9.22E-07,1.21E-13,1.38E-182,0.999999078
S136,2.483074935,1.406746475,3.20E-06,1.81E-11,2.02E-180,0.999996799
S137,1.499871958,1.510599785,0.999999997,5.80E-18,6.63E-197,2.94E-09
S138,-4.87141164,-3.903875855,1.17E-10,0.999950743,6.56E-173,4.93E-05
S139,-3.408645053,-1.781848999,1.00E-16,1,6.15E-175,1.33E-12
S14,1.252005974,0.150514007,5.70E-09,3.91E-14,7.95E-182,0.999999994
S140,-2.814954111,-0.764154735,8.25E-17,1,3.37E-174,2.88E-12
S142,-0.582496783,0.474669272,2.39E-07,4.82E-13,1.09E-178,0.999999761
S143,0.439471747,-0.144276149,8.18E-05,2.17E-12,3.76E-184,0.999918173
S144,1.11228921,0.08928375,5.29E-05,3.34E-11,2.66E-180,0.99994714
S145,-0.007859789,-0.214903554,0.000152913,5.30E-12,3.72E-184,0.999847087
S146,0.290228952,0.00961977,7.59E-05,2.23E-15,6.89E-185,0.999924063
S147,-1.612067839,-1.587566162,9.39E-08,5.44E-10,5.27E-177,0.999999906
S148,0.095646094,-0.201626157,7.26E-07,1.26E-12,5.15E-183,0.999999274
S149,-2.129153292,-0.830735117,1.87E-05,5.22E-15,1.05E-185,0.999981268
S15,1.063933047,0.945943624,0.993438892,3.01E-13,4.27E-189,0.006561108
S150,1.295245138,1.578681959,3.38E-05,1.21E-13,1.45E-184,0.999966223
S153,0.813830731,0.320853721,0.000121732,6.72E-10,2.50E-180,0.999878268
S154,1.435433809,0.373826714,7.14E-06,1.21E-11,1.18E-183,0.999992861
S155,-1.171068978,-1.282207803,5.21E-07,6.63E-12,3.72E-184,0.999999479
S156,-3.324613719,-1.94228159,1.17E-11,0.999998749,1.87E-171,1.25E-06
S157,1.285217181,0.316636985,0.999945423,4.29E-14,2.77E-186,5.46E-05
S158,1.056701343,1.229952488,4.94E-10,3.60E-14,1.02E-179,1
S159,0.342002407,-0.017496136,9.19E-06,2.07E-11,1.30E-180,0.999990813
S16,0.718015464,0.876054339,0.007531585,1.32E-12,1.61E-180,0.992468415
S160,-4.627001768,-3.448974576,4.71E-20,1,3.59E-169,1.73E-14
S161,-4.812430272,-3.914632417,1.32E-17,1,4.58E-171,1.14E-11
S162,0.028322983,-0.056319868,0.000298567,5.39E-14,1.25E-185,0.999701433
S163,0.670770205,-0.146515331,2.00E-06,3.43E-12,3.29E-181,0.999998
S164,2.335332627,1.52007119,4.80E-05,3.63E-11,8.61E-184,0.999952017
S165,-1.108235976,-0.166680337,2.50E-07,1.23E-12,1.20E-179,0.99999975
S166,-1.195243666,-0.969934084,1.22E-06,1.81E-10,6.89E-179,0.999998776
S167,0.114121429,0.301873248,2.16E-06,2.26E-06,9.70E-174,0.999995583
S168,0.226580782,0.283153448,0.863353029,8.79E-14,1.46E-187,0.136646971
S169,0.320401447,0.423724813,1.40E-06,2.00E-12,6.57E-183,0.999998599
S17,0.472276572,1.014350101,0.999997253,9.14E-18,1.23E-192,2.75E-06
S170,1.437449926,0.687989521,0.64061149,2.34E-15,6.51E-186,0.35938851
S171,0.412018876,-0.134783881,0.502051234,2.94E-16,1.93E-188,0.497948766
S172,0.372707239,1.124805826,0.9999966,8.92E-17,3.04E-193,3.40E-06
S173,-0.225982492,0.04128308,0.998607491,1.24E-14,5.79E-191,0.001392509
S174,1.51253611,0.990823346,0.001850713,7.30E-15,8.43E-189,0.998149287
S176,-0.783921424,-0.558826455,0.858880915,1.68E-12,9.64E-187,0.141119085
S177,0.210856178,0.438450412,0.958322589,2.14E-13,3.39E-187,0.041677411
S178,-0.311904332,-0.219327778,0.998576321,1.07E-13,4.33E-183,0.001423679
S179,0.079222506,-0.086226706,6.15E-06,8.41E-12,2.59E-183,0.99999385
S18,1.922308353,-0.011755472,0.69011251,5.78E-10,1.37E-183,0.30988749
S180,1.179428189,1.534284851,1.43E-05,1.78E-11,5.77E-182,0.999985748
S181,0.382264337,1.357630064,0.99993961,8.94E-17,5.96E-192,6.04E-05
S182,0.43723687,1.430951166,2.81E-07,3.54E-11,9.97E-181,0.999999719
S183,0.698573185,-0.183680416,2.68E-05,2.22E-12,5.06E-183,0.999973157
S184,-3.037281954,-2.676456669,1.07E-06,5.55E-05,1.07E-174,0.999943408
S185,0.677090152,-0.500281318,0.999996226,2.88E-16,1.25E-191,3.77E-06
S186,-0.209733927,0.253931974,2.11E-06,3.91E-14,1.13E-184,0.999997886
S187,0.159224218,-0.390570062,9.60E-06,1.31E-09,4.61E-180,0.999990394
S188,-1.763061831,-1.284479548,2.33E-23,1,8.10E-162,3.07E-18
S189,-0.812221367,-0.368703098,9.44E-05,1.16E-13,1.53E-185,0.999905592
